Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
347,F,2024-08-07,14:28,Foggia,FG,Barletta,BT,2024-08-06,7,Mercoled ,Agosto,Pomeriggio (12:00 - 17:59)
348,F,2024-08-07,05:54,Foggia,FG,Lucera,FG,2024-08-06,7,Mercoled ,Agosto,Notte (00:00 - 05:59)
349,M,2024-08-08,09:32,Foggia,FG,Celenza Valfortore,FG,2024-08-06,8,Gioved ,Agosto,Mattina (06:00 - 11:59)
350,M,2024-08-08,11:44,Foggia,FG, Cerignola,FG,2024-08-06,8,Gioved ,Agosto,Mattina (06:00 - 11:59)
351,M,2024-08-07,15:40,Foggia,FG,Cerignola,FG,2024-08-07,7,Mercoled ,Agosto,Pomeriggio (12:00 - 17:59)
352,F,2024-08-08,19:18,Foggia,FG,Stornara,FG,2024-08-08,8,Gioved ,Agosto,Sera (18:00 - 23:59)
353,M,2024-08-08,11:43,Foggia,FG,Stornara,FG,2024-08-08,8,Gioved ,Agosto,Mattina (06:00 - 11:59)
354,F,2024-08-09,14:35,Foggia,FG,Orsara Di Puglia,FG,2024-08-09,9,Venerd ,Agosto,Pomeriggio (12:00 - 17:59)
355,F,2024-08-10,20:01,Foggia,FG,Barletta,BT,2024-08-09,10,Sabato,Agosto,Sera (18:00 - 23:59)
356,M,2024-08-09,12:30,Foggia,FG,Candela,FG,2024-08-09,9,Venerd ,Agosto,Pomeriggio (12:00 - 17:59)
357,F,2024-08-11,03:41,Foggia,FG,Cerignola,FG,2024-08-09,11,Domenica,Agosto,Notte (00:00 - 05:59)
358,M,2024-08-09,01:53,Foggia,FG,Barletta,BT,2024-08-09,9,Venerd ,Agosto,Notte (00:00 - 05:59)
359,M,2024-08-10,10:32,Foggia,FG,Carapelle,FG,2024-08-12,10,Sabato,Agosto,Mattina (06:00 - 11:59)
360,M,2024-08-09,12:10,Foggia,FG,Cerignola,FG,2024-08-12,9,Venerd ,Agosto,Pomeriggio (12:00 - 17:59)
361,F,2024-08-11,10:27,Foggia,FG,Lucera,FG,2024-08-12,11,Domenica,Agosto,Mattina (06:00 - 11:59)
362,F,2024-08-12,11:18,Foggia,FG,Carapelle,FG,2024-08-12,12,Luned ,Agosto,Mattina (06:00 - 11:59)
363,F,2024-08-10,02:42,Foggia,FG,Alberona,FG,2024-08-12,10,Sabato,Agosto,Notte (00:00 - 05:59)
364,M,2024-08-12,16:36,Foggia,FG,San Paolo Di Civitate,FG,2024-08-12,12,Luned ,Agosto,Pomeriggio (12:00 - 17:59)
365,M,2024-03-17,00:25,Aarau,CH,Orta Nova,FG,2024-01-03,17,Domenica,Marzo,Notte (00:00 - 05:59)
366,M,2024-08-12,02:51,Foggia,FG,San Severo,FG,2024-08-12,12,Luned ,Agosto,Notte (00:00 - 05:59)
367,F,2024-08-16,04:57,Foggia,FG,Cerignola,FG,2024-08-12,16,Venerd ,Agosto,Notte (00:00 - 05:59)
368,F,2024-08-18,14:46,Foggia,FG,San Severo,FG,2024-08-13,18,Domenica,Agosto,Pomeriggio (12:00 - 17:59)
369,M,2024-08-17,05:42,Foggia,FG,Ascoli Satriano,FG,2024-08-13,17,Sabato,Agosto,Notte (00:00 - 05:59)
